ts_code,symbol,name,market,area,industry,ths_industry,ths_concepts,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,list_date,cr_end_date,current_ratio,fcf_end_date,fcf
000001.SZ,000001,平安银行,主板,深圳,银行,金融(A股),沪深300样本股|融资融券|证金持股|深股通|跨境支付(CIPS)|高股息精选,4.9115,0.4512,20938985.7356,20938643.1046,0.4315,1.0261,19910403,20260331,,20260331,37630000000.0
000002.SZ,000002,万科Ａ,主板,深圳,全国地产,房地产(A股),沪深300样本股|融资融券|冷链物流|机器人概念|粤港澳大湾区|养老概念|体育产业|证金持股|深股通|租售同权|装配式建筑|超级品牌|智能物流|冰雪产业|物业管理|同花顺漂亮100|空间计算,,0.3659,4044510.5107,3294041.2582,1.3015,1.9534,19910129,20260331,1.2194,20260331,-2626526845.42
000004.SZ,000004,*ST国华,主板,深圳,软件服务,信息技术(A股),物联网|互联网金融|手机游戏|网络安全|粤港澳大湾区|5G|车联网(车路协同)|ST板块|人工智能|人脸识别|工业互联网|华为概念|电力物联网|抖音概念(字节概念)|储能|鸿蒙概念|数据安全|东数西算(算力)|信创|云计算,,,,,,,19901201,20260331,1.1145,20260331,-28174585.049999997
000006.SZ,000006,深振业Ａ,主板,深圳,区域地产,房地产(A股),融资融券|粤港澳大湾区|证金持股|深股通|深圳国企改革|物业管理|新型城镇化|国企改革,,2.5798,1385094.9172,1385084.452,2.5985,4.1241,19920427,20260331,1.757,20260331,169611055.34
000007.SZ,000007,全新好,主板,深圳,其他商业,房地产(A股),粤港澳大湾区|物业管理,2198.531,23.6585,423705.9578,423705.9578,3.3125,4.9879,19920413,20260331,1.7639,20260331,82842871.02
000008.SZ,000008,神州高铁,主板,北京,运输设备,信息技术(A股),融资融券|智慧城市|一带一路|机器人概念|高铁|职业教育|央企国企改革|PPP概念|深股通|锂电池概念|智能物流|腾讯概念|华为概念|国企改革,,3.2346,698109.0645,698088.3167,1.0992,1.8053,19920507,20260331,0.8436,20260331,-71975463.2
000009.SZ,000009,中国宝安,主板,深圳,电气设备,工业(A股),中证500成份股|融资融券|石墨烯|创投|新能源汽车|土地流转|充电桩|一带一路|机器人概念|粤港澳大湾区|黄金概念|3D打印|小金属概念|举牌|深股通|军工|农机|锂电池概念|无线充电|燃料电池|石墨电极|宁德时代概念|氢能源|金属钴|物业管理|储能|钠离子电池|动力电池回收|硅能源|金属镍|金属回收|比亚迪概念|高压快充|减速器|固态电池|液冷服务器|人形机器人,96.1608,1.9466,1952464.9715,1950047.492,0.7714,1.245,19910625,20260331,2.1217,20260331,-1036225754.25
000010.SZ,000010,*ST美丽,主板,深圳,建筑工程,工业(A股),水利|PPP概念|ST板块|煤炭概念|抽水蓄能|东数西算(算力)|新型城镇化,,7.8513,231080.1107,174496.5691,1.5086,1.8006,19951027,20260331,0.9087,20260331,-41206041.97
000011.SZ,000011,深物业A,主板,深圳,房产服务,房地产(A股),一带一路|粤港澳大湾区|深股通|深圳国企改革|化债概念(AMC概念)|物业管理|新型城镇化|国企改革,129.4494,1.3031,438640.6117,387485.9996,0.7126,2.0058,19920330,20260331,1.9998,20260331,-301959744.42999995
000012.SZ,000012,南玻Ａ,主板,深圳,玻璃,原材料(A股),融资融券|建筑节能|特斯拉概念|一带一路|光伏概念|汽车电子|深股通|军工|OLED|雄安新区|消费电子概念|光伏建筑一体化|硅能源,108.9464,1.0504,1369110.965,881692.4691,8.1769,13.4704,19920228,20260331,1.0022,20260331,-111199525.0
