ts_code,csname,extname,cname,index_code,index_name,list_date,exchange
159001.SZ,易方达保证金货币A,货币ETF易方达,易方达保证金收益货币市场基金A类,,,20141020,SZ
159003.SZ,招商保证金快线A,招商快线ETF,招商保证金快线货币市场基金A类,,,20141020,SZ
159005.SZ,汇添富收益快钱货币A,快钱ETF汇添富,汇添富收益快钱货币市场基金A类,,,20150113,SZ
159007.SZ,华泰柏瑞中证畜牧养殖产业ETF,养殖ETF华泰柏瑞,华泰柏瑞中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,20260417,SZ
159008.SZ,景顺长城中证全指证券公司ETF,证券ETF景顺,景顺长城中证全指证券公司交易型开放式指数证券投资基金,399975.SZ,中证全指证券公司指数,20260428,SZ
159009.SZ,易方达创业板新能源ETF,创业板新能源ETF易方达,易方达创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,20260414,SZ
159010.SZ,博时恒生港股通科技主题ETF,港股通科技ETF博时,博时恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20260513,SZ
159012.SZ,鹏华科创创业50ETF,科创创业50ETF鹏华,鹏华中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,20260520,SZ
159013.SZ,大成中证工业互联网主题ETF,工业互联网ETF大成,大成中证工业互联网主题交易型开放式指数证券投资基金,931495.CSI,中证工业互联网主题指数,20260428,SZ
159015.SZ,国联恒生港股通科技ETF,恒生港股通科技ETF国联,国联恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20260508,SZ
159016.SZ,广发中证证券公司30ETF,证券ETF广发,广发中证证券公司30交易型开放式指数证券投资基金,931412.CSI,中证证券公司30指数,20260514,SZ
159017.SZ,石油ETF工银,石油ETF工银,工银瑞信国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260508,SZ
159018.SZ,广发国证石油天然气ETF,石油ETF广发,广发国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260427,SZ
159019.SZ,华宝国证石油天然气ETF,石油ETF华宝,华宝国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260423,SZ
159020.SZ,易方达中证畜牧养殖产业ETF,养殖ETF易方达,易方达中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,20260427,SZ
159021.SZ,华夏国证大盘价值ETF,大盘价值ETF华夏,华夏国证大盘价值交易型开放式指数证券投资基金,399373.SZ,国证大盘价值指数,20260515,SZ
159022.SZ,富国中证科创创业人工智能ETF,科创创业人工智能ETF富国,富国中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,20260424,SZ
159026.SZ,南方国证石油天然气ETF,石油ETF南方,南方国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260424,SZ
159027.SZ,大成中证畜牧养殖产业ETF,畜牧养殖ETF大成,大成中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,20260515,SZ
159028.SZ,天弘恒生港股通汽车主题ETF,港股汽车ETF天弘,天弘恒生港股通汽车主题交易型开放式指数证券投资基金,HSSCAM.HI,恒生港股通汽车主题指数,20260514,SZ
159029.SZ,广发中证有色金属矿业主题ETF,有色ETF广发,广发中证有色金属矿业主题交易型开放式指数证券投资基金,931892.CSI,中证有色金属矿业主题指数,20260521,SZ
159030.SZ,华夏国证粮食产业ETF,粮食ETF华夏,华夏国证粮食产业交易型开放式指数证券投资基金,399365.SZ,国证粮食产业指数,20260512,SZ
159032.SZ,易方达中证工业有色金属主题ETF,工业有色ETF易方达,易方达中证工业有色金属主题交易型开放式指数证券投资基金,H11059.CSI,中证工业有色金属主题指数,20260513,SZ
159035.SZ,天弘中证软件服务ETF,软件ETF天弘,天弘中证软件服务交易型开放式指数证券投资基金,930601.CSI,中证软件服务指数,20260515,SZ
159038.SZ,易方达国证粮食产业ETF,粮食ETF易方达,易方达国证粮食产业交易型开放式指数证券投资基金,399365.SZ,国证粮食产业指数,20260521,SZ
159100.SZ,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),巴西ETF华夏,华夏布拉德斯科巴西伊博维斯帕交易型开放式指数证券投资基金(QDII),BOVESPA.OTH,巴西IBOVESPA指数,20251113,SZ
159101.SZ,华夏国证港股通科技ETF,港股通科技ETF华夏,华夏国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20250903,SZ
159102.SZ,华安恒生生物科技ETF,港股通生物科技ETF华安,华安恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20250916,SZ
159103.SZ,汇添富中证金融科技主题ETF,金融科技ETF汇添富,汇添富中证金融科技主题交易型开放式指数证券投资基金,930986.CSI,中证金融科技主题指数,20250910,SZ
